id, email, phone_number, parcel_weight
1, email1@email.com, 237 209993809, 24.45
2, email2@email.com, 258 852828436, 1.33
3, email3@email.com, 256 217813782, 15.16
4, email4@email.com, 251511056331, 9.73
5, email5@email.com, 251 543636241, 13.93
6, email6@email.com, 256 347564232, 1.27
7, email7@email.com, 256720708096, 8.71
8, email8@email.com, 256727281921, 1.42
9, email9@email.com, 256286610566, 12.55
10, email10@email.com, 212828477226, 14.40
11, email11@email.com, 256 261244331, 7.11
12, email12@email.com, 256 645845997, 11.20
13, email13@email.com, 256 395356404, 12.73
14, email14@email.com, 251252567912, 9.40
15, email15@email.com, 258 87127423, 3.69
16, email16@email.com, 212 905608793, 20.09
17, email17@email.com, 251 935247656, 3.49
18, email18@email.com, 258203966695, 5.09
19, email19@email.com, 23721520563, 0.83
20, email20@email.com, 251 990390343, 6.35
21, email21@email.com, 258216104012, 18.08
22, email22@email.com, 212 808882110, 1.81
23, email23@email.com, 258883426317, 16.64
24, email24@email.com, 25821159359, 1.56
25, email25@email.com, 251434823371, 12.87
26, email26@email.com, 256 573042485, 1.41
27, email27@email.com, 25885669765, 8.41
28, email28@email.com, 256 614997375, 8.66
29, email29@email.com, 212638539072, 24.12
30, email30@email.com, 256 343943069, 10.23
31, email31@email.com, 251435632379, 1.37
32, email32@email.com, 256 030107983, 0.59
33, email33@email.com, 258854643948, 0.78
34, email34@email.com, 237 64970986, 2.19
35, email35@email.com, 212 977615789, 23.66
36, email36@email.com, 256 736315592, 0.60
37, email37@email.com, 212 587993349, 14.71
38, email38@email.com, 256 978460044, 5.94
39, email39@email.com, 212 614016088, 12.72
40, email40@email.com, 251995055025, 20.08
41, email41@email.com, 256077630871, 23.88
42, email42@email.com, 251 125561911, 9.06
43, email43@email.com, 258 828848561, 16.53
44, email44@email.com, 212865991959, 16.73
45, email45@email.com, 251136159040, 15.39
46, email46@email.com, 251 159320943, 3.72
47, email47@email.com, 258287179123, 18.83
48, email48@email.com, 256 235375858, 9.31
